timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_id,combo_present
151,0,1,0,0,176,-49,0,0,0,1,1028,0,0,1,0,0,0,0,0,1,1,176,0,0,1,515,-1,0
148,0,1,0,0,116,-33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,0,1,131073,2,1
130,0,1,0,0,176,-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,153,0,0,1,1028,6,1
148,0,1,0,0,132,-54,-1,0,0,1,100795394,0,0,0,0,0,0,0,0,0,6,138,0,0,0,0,-1,0
115,0,1,0,0,44,-43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,130,0,0,1,131586,3,1
89,0,1,0,0,4,-101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,-1,0
103,0,1,0,0,22,-41,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0,4,1
112,0,1,0,0,89,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,-1,0
86,0,1,0,0,102,134,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,5,121,0,0,0,0,4,1
131,0,1,0,0,84,-21,-48,1,0,1,131073,1,0,1,0,0,1,0,0,0,1,87,0,0,0,0,4,1
128,0,1,0,0,41,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,144,0,1,1,33686532,5,1
134,0,1,0,0,119,-57,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,139,0,0,0,0,3,1
119,0,1,0,0,159,94,-69,1,0,1,1,0,0,0,0,0,0,0,0,0,5,127,0,0,0,0,-1,0
100,0,1,0,0,91,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,0,0,0,0,-1,0
145,0,1,0,0,147,49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,168,0,0,0,0,3,1
96,0,1,0,0,43,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,41,0,0,0,0,-1,0
147,0,1,0,0,176,80,0,0,0,1,131073,0,0,1,0,0,0,0,0,0,6,176,0,0,0,0,3,1
128,0,1,0,0,147,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,0,0,-1,0
