timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,Player2_ID,Player2 health,Player2 x_coord,Player2 y_coord,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,player2_buttons up,player2_buttons down,player2_buttons right,player2_buttons left,player2.player_buttons.A,player2.player_buttons.B,player2.player_buttons.Y,player2.player_buttons.R,player2.player_buttons.L
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,0,1,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,131073,3,176,307,192,0,0,0,0,0,0,0,1,0,0,0,0,0
148,0,1,0,0,176,205,192,0,1,1,1,3,176,305,192,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,176,205,192,0,0,1,1,3,176,305,192,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,1,0,0,176,205,192,0,0,1,1,3,176,305,192,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,1,0,0,176,205,192,0,0,1,1,3,176,305,192,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,1,0,0,176,205,192,0,0,1,1,3,176,305,192,0,0,0,0,0,1,0,0,0,0,0,0,0
147,0,1,0,0,176,205,192,0,0,1,1,3,176,305,192,0,0,0,0,0,1,0,0,0,0,0,0,0
147,0,1,0,0,176,203,192,0,0,0,0,3,176,305,192,0,0,0,0,1,0,0,0,0,0,0,0,0
135,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,1,0,0,0,0,0,0,0
135,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,1,0,0,0,0,0,0,0
135,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,1,0,0,0,1,0,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,264,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,268,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,271,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,275,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,278,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
